name,iso_country,icao_code,municipality,iata_code,coordinates
����rebro Airport,SE,ESOE,����rebro,ORB,"15.038000106811523, 59.22370147705078"
Karlstad Airport,SE,ESOK,Karlstad,KSD,"13.337400436400001, 59.444698333699996"
Stockholm V����ster����s Airport,SE,ESOW,Stockholm / V����ster����s,VST,"16.63360023498535, 59.58940124511719"
Lule���� Airport,SE,ESPA,Lule����,LLA,"22.121999740601, 65.543800354004"
Stockholm-Arlanda Airport,SE,ESSA,Stockholm,ARN,"17.918600082397, 59.651901245117"
Stockholm-Bromma Airport,SE,ESSB,Stockholm,BMA,"17.941699981689453, 59.354400634765625"
G����vle Sandviken Airport,SE,ESSK,G����vle / Sandviken,GVX,"16.951400756835938, 60.593299865722656"
Link����ping City Airport,SE,ESSL,Link����ping,LPI,"15.680500030500001, 58.4062004089"
Norrk����ping Airport,SE,ESSP,Norrk����ping,NRK,"16.250600814819336, 58.586299896240234"
Eskilstuna Airport,SE,ESSU,Eskilstuna,EKT,"16.70840072631836, 59.35110092163086"
Visby Airport,SE,ESSV,Visby,VBY,"18.346200942993, 57.662799835205"
����ngelholm-Helsingborg Airport,SE,ESTA,����ngelholm,AGH,"12.847100257873535, 56.29610061645508"
Hemavan Airport,SE,ESUT,Hemavan,HMV,"15.0828, 65.806099"
Spangdahlem Air Base,DE,ETAD,Trier,SPM,"6.69250011444, 49.9726982117"
Ramstein Air Base,DE,ETAR,Ramstein,RMS,"7.600279808044434, 49.4369010925293"
Fritzlar Army Airfield,DE,ETHF,Fritzlar,FRZ,"9.286, 51.1146"
Nordholz Naval Airbase,DE,ETMN,Cuxhaven,FCN,"8.658499717709999, 53.7677001953"
Rostock-Laage Airport,DE,ETNL,Rostock,RLG,"12.278300285299999, 53.9182014465"
Schleswig Air Base,DE,ETNS,Jagel,WBG,"9.51633, 54.459301"
Wiesbaden Army Airfield,DE,ETOU,Wiesbaden,WIE,"8.325400352478027, 50.049800872802734"
Ingolstadt Manching Airport,DE,ETSI,Manching,IGS,"11.534000396728516, 48.7156982421875"
Daugavpils Intrenational Airport,LV,EVDA,Daugavpils,DGP,"26.6650009155, 55.944721221900004"
Liep����ja International Airport,LV,EVLA,Liep����ja,LPX,"21.096900939941406, 56.51750183105469"
Riga International Airport,LV,EVRA,Riga,RIX,"23.971099853515625, 56.92359924316406"
Ventspils International Airport,LV,EVVA,Ventspils,VNT,"21.5442008972, 57.35779953"
Kaunas International Airport,LT,EYKA,Kaunas,KUN,"24.084800720214844, 54.96390151977539"
Palanga International Airport,LT,EYPA,Palanga,PLQ,"21.093900680541992, 55.973201751708984"
Panev��������ys Air Base,LT,EYPP,Panev��������ys,PNV,"24.460800170898438, 55.729400634765625"
����iauliai International Airport,LT,EYSA,����iauliai,SQQ,"23.395000457763672, 55.89390182495117"
Vilnius International Airport,LT,EYVI,Vilnius,VNO,"25.285801, 54.634102"
Alexander Bay Airport,ZA,FAAB,Alexander Bay,ALJ,"16.5333, -28.575001"
Aggeneys Airport,ZA,FAAG,Aggeneys,AGZ,"18.813899993896484, -29.28179931640625"
Bisho Airport,ZA,FABE,Bisho,BIY,"27.279100418099997, -32.8970985413"
Bram Fischer International Airport,ZA,FABL,Bloemfontain,BFN,"26.302401, -29.092699"
Cape Town International Airport,ZA,FACT,Cape Town,CPT,"18.6016998291, -33.9648017883"
Ben Schoeman Airport,ZA,FAEL,East London,ELS,"27.825899124099998, -33.0355987549"
Ficksburg Sentraoes Airport,ZA,FAFB,Ficksburg,FCB,"27.908899307250977, -28.82309913635254"
Grand Central Airport,ZA,FAGC,Midrand,GCJ,"28.1401004791, -25.986299514799995"
George Airport,ZA,FAGG,George,GRJ,"22.378902, -34.0056"
Rand Airport,ZA,FAGM,Johannesburg,QRA,"28.1511993408, -26.2425003052"
Harrismith Airport,ZA,FAHR,Harrismith,HRS,"29.106199264526367, -28.23509979248047"
P C Pelser Airport,ZA,FAKD,Klerksdorp,KXE,"26.718000411987305, -26.8710994720459"
Kimberley Airport,ZA,FAKM,Kimberley,KIM,"24.7651996613, -28.802799224900003"
Kruger Mpumalanga International Airport,ZA,FAKN,Mpumalanga,MQP,"31.1056003571, -25.3831996918"
Johan Pienaar Airport,ZA,FAKU,Kuruman,KMH,"23.411399841308594, -27.45669937133789"
Kleinsee Airport,ZA,FAKZ,Kleinsee,KLZ,"17.093999862700002, -29.6884002686"
Lanseria Airport,ZA,FALA,Johannesburg,HLA,"27.9260997772, -25.938499450699997"
Lime Acres Finsch Mine Airport,ZA,FALC,Lime Acres,LMR,"23.43910026550293, -28.36009979248047"
King Shaka International Airport,ZA,FALE,Durban,DUR,"31.1197222222, -29.6144444444"
Langebaanweg Airport,ZA,FALW,Langebaanweg,SDB,"18.1602993011, -32.968898773199996"
Ladysmith Airport,ZA,FALY,Ladysmith,LAY,"29.749700546299998, -28.5816993713"
Malamala Airport,ZA,FAMD,Malamala,AAM,"31.544599533081055, -24.818099975585938"
Margate Airport,ZA,FAMG,Margate,MGH,"30.343000412, -30.8574008942"
Mmabatho International Airport,ZA,FAMM,Mafeking,MBD,"25.548000335699996, -25.798400878900004"
Riverside Airport,ZA,FAMN,Malelane,LLE,"31.5767002106, -25.4300003052"
Mkuze Airport,ZA,FAMU,Mkuze,MZQ,"32.0443000793457, -27.626100540161133"
Newcastle Airport,ZA,FANC,Newcastle,NCS,"29.976900100699996, -27.7705993652"
Oudtshoorn Airport,ZA,FAOH,Oudtshoorn,OUH,"22.188999176, -33.6069984436"
OR Tambo International Airport,ZA,FAOR,Johannesburg,JNB,"28.246, -26.1392"
Port Elizabeth Airport,ZA,FAPE,Port Elizabeth,PLZ,"25.6173000336, -33.9849014282"
Plettenberg Bay Airport,ZA,FAPG,Plettenberg Bay,PBZ,"23.3287234306, -34.0881601675"
Hendrik Van Eck Airport,ZA,FAPH,Phalaborwa,PHW,"31.1553993225, -23.937200546299998"
Port St Johns Airport,ZA,FAPJ,Port St Johns,JOH,"29.519800186157227, -31.605899810791016"
Pietermaritzburg Airport,ZA,FAPM,Pietermaritzburg,PZB,"30.3987007141, -29.649000167799997"
Polokwane International Airport,ZA,FAPP,Polokwane,PTG,"29.458615, -23.845269"
Potchefstroom Airport,ZA,FAPS,Potchefstroom,PCF,"27.0818996429, -26.670999527"
Queenstown Airport,ZA,FAQT,Queenstown,UTW,"26.882200241088867, -31.92020034790039"
Richards Bay Airport,ZA,FARB,Richards Bay,RCB,"32.0920982361, -28.740999221800003"
Robertson Airport,ZA,FARS,Robertson,ROD,"19.902799606323242, -33.812198638916016"
Springbok Airport,ZA,FASB,Springbok,SBU,"17.939599990844727, -29.689300537109375"
Secunda Airport,ZA,FASC,Secunda,ZEC,"29.170099258399997, -26.52409935"
Sishen Airport,ZA,FASS,Sishen,SIS,"22.9993000031, -27.6485996246"
Skukuza Airport,ZA,FASZ,Skukuza,SZK,"31.5886993408, -24.960899353"
Tzaneen Airport,ZA,FATZ,Tzaneen,LTA,"30.329299926799997, -23.8243999481"
Prince Mangosuthu Buthelezi Airport,ZA,FAUL,Ulundi,ULD,"31.4165000916, -28.3206005096"
Pierre Van Ryneveld Airport,ZA,FAUP,Upington,UTN,"21.260200500499998, -28.39909935"
K. D. Matanzima Airport,ZA,FAUT,Mthatha,UTT,"28.6733551025, -31.546363184900002"
Vryburg Airport,ZA,FAVB,Vyrburg,VRU,"24.7287998199, -26.9824008942"
Virginia Airport,ZA,FAVG,Durban,VIR,"31.058399200439453, -29.770599365234375"
Vredendal Airport,ZA,FAVR,Vredendal,VRE,"18.5447998046875, -31.641000747680664"
Wonderboom Airport,ZA,FAWB,Pretoria,PRY,"28.224199, -25.6539"
Waterkloof Air Force Base,ZA,FAWK,Pretoria,WKF,"28.222499847399998, -25.829999923699997"
Francistown Airport,BW,FBFT,Francistown,FRW,"27.47450065612793, -21.15959930419922"
Kasane Airport,BW,FBKE,Kasane,BBK,"25.162399291992188, -17.83289909362793"
Maun Airport,BW,FBMN,Maun,MUB,"23.431100845336914, -19.97260093688965"
Sir Seretse Khama International Airport,BW,FBSK,Gaborone,GBE,"25.9182, -24.555201"
Sua Pan Airport,BW,FBSN,Sowa,SXN,"26.115801, -20.5534"
Maya-Maya Airport,CG,FCBB,Brazzaville,BZV,"15.253000259399414, -4.251699924468994"
Oyo Ollombo Airport,CG,FCOD,Oyo,OLL,"15.91, -1.226666"
Owando Airport,CG,FCOO,Owando,FTX,"15.95009994506836, -0.5313500165939331"
Ngot Nzoungou Airport,CG,FCPD,Dolisie,DIS,"12.6599, -4.20635"
Pointe Noire Airport,CG,FCPP,Pointe Noire,PNR,"11.88659954071045, -4.816030025482178"
Matsapha Airport,SZ,FDMS,Manzini,MTS,"31.307501, -26.528999"
Bangui M'Poko International Airport,CF,FEFF,Bangui,BGF,"18.518800735473633, 4.39847993850708"
Berb����rati Airport,CF,FEFT,Berb����rati,BBT,"15.786399841308594, 4.2215800285339355"
Malabo Airport,GQ,FGSL,Malabo,SSG,"8.708720207214355, 3.755270004272461"
RAF Ascension Island,SH,FHAW,Ascension Island,ASI,"-14.3937, -7.9696"
Sir Seewoosagur Ramgoolam International Airport,MU,FIMP,Port Louis,MRU,"57.683601, -20.430201"
Sir Charles Gaetan Duval Airport,MU,FIMR,Port Mathurin,RRG,"63.361, -19.7577"
Diego Garcia Naval Support Facility,IO,FJDG,Diego Garcia,NKW,"72.411102, -7.31327"
Tiko Airport,CM,FKKC,Tiko,TKC,"9.360529899600001, 4.08919000626"
Douala International Airport,CM,FKKD,Douala,DLA,"9.719479560849999, 4.0060801506"
Salak Airport,CM,FKKL,Maroua,MVR,"14.257399559020996, 10.451399803161621"
Foumban Nkounja Airport,CM,FKKM,Foumban,FOM,"10.750800132751465, 5.636919975280762"
N'Gaound����r���� Airport,CM,FKKN,N'Gaound����r����,NGE,"13.559200286865234, 7.3570098876953125"
Garoua International Airport,CM,FKKR,Garoua,GOU,"13.370100021362305, 9.33588981628418"
Bafoussam Airport,CM,FKKU,Bafoussam,BFX,"10.354599952700001, 5.536920070650001"
Bamenda Airport,CM,FKKV,Bamenda,BPC,"10.122599601745605, 6.039239883422852"
Yaound���� Airport,CM,FKKY,Yaound����,YAO,"11.523500442504883, 3.8360400199890137"
Yaound���� Nsimalen International Airport,CM,FKYS,Yaound����,NSI,"11.553299903869629, 3.722559928894043"
Kasompe Airport,ZM,FLKE,Chingola,CGJ,"27.893899917603, -12.572799682617"
Harry Mwanga Nkumbula International Airport,ZM,FLHN,Livingstone,LVI,"25.822701, -17.8218"
Kenneth Kaunda International Airport,ZM,FLKK,Lusaka,LUN,"28.4526, -15.3308"
Mfuwe Airport,ZM,FLMF,Mfuwe,MFU,"31.936599731445312, -13.258899688720703"
Mongu Airport,ZM,FLMG,Mongu,MNR,"23.16230010986328, -15.254500389099121"
Simon Mwansa Kapwepwe International Airport,ZM,FLSK,Ndola,NLA,"28.66489982605, -12.998100280762"
Southdowns Airport,ZM,FLSO,Kitwe,KIW,"28.149900436401367, -12.900500297546387"
Prince Said Ibrahim International Airport,KM,FMCH,Moroni,HAH,"43.2719, -11.5337"
Ouani Airport,KM,FMCV,Ouani,AJN,"44.430301666259766, -12.131699562072754"
Dzaoudzi Pamandzi International Airport,YT,FMCZ,Dzaoudzi,DZA,"45.28110122680664, -12.804699897766113"
Roland Garros Airport,RE,FMEE,St Denis,RUN,"55.51029968261719, -20.887100219726562"
Pierrefonds Airport,RE,FMEP,St Pierre,ZSE,"55.42499923706055, -21.320899963378906"
Ivato Airport,MG,FMMI,Antananarivo,TNR,"47.478802, -18.7969"
Mananara Nord Airport,MG,FMNC,Mananara Nord,WMR,"49.773799896240234, -16.16390037536621"
Fascene Airport,MG,FMNN,Nosy Be,NOS,"48.3148002625, -13.3121004105"
Ambalabe Airport,MG,FMNW,Antsohihy,WAI,"47.993900299072266, -14.898799896240234"
T����lanaro Airport,MG,FMSD,T����lanaro,FTU,"46.95610046386719, -25.03809928894043"
Mbanza Congo Airport,AO,FNBC,Mbanza Congo,SSY,"14.246999740600586, -6.269899845123291"
Benguela Airport,AO,FNBG,Benguela,BUG,"13.4036998749, -12.609000206"
Cabinda Airport,AO,FNCA,Cabinda,CAB,"12.188400268554688, -5.59699010848999"
Catumbela Airport,AO,FNCT,Catumbela,CBT,"13.4869, -12.4792"
Dundo Airport,AO,FNDU,Chitato,DUE,"20.818500518798828, -7.400889873504639"
Ngjiva Pereira Airport,AO,FNGI,Ngiva,VPE,"15.683799743700002, -17.0435009003"
Nova Lisboa Airport,AO,FNHU,Huambo,NOV,"15.760499954223633, -12.808899879455566"
Kuito Airport,AO,FNKU,Kuito,SVP,"16.947399139404, -12.404600143433"
Quatro de Fevereiro Airport,AO,FNLU,Luanda,LAD,"13.2312, -8.85837"
Malanje Airport,AO,FNMA,Malanje,MEG,"16.312400817871094, -9.525090217590332"
Menongue Airport,AO,FNME,Menongue,SPP,"17.71980094909668, -14.657600402832031"
Namibe Airport,AO,FNMO,Namibe,MSZ,"12.14680004119873, -15.261199951171875"
Negage Airport,AO,FNNG,Negage,GXG,"15.287699699401855, -7.754509925842285"
Porto Amboim Airport,AO,FNPA,Port Amboim,PBN,"13.76550006866455, -10.722000122070312"
Saurimo Airport,AO,FNSA,Saurimo,VHC,"20.431900024414062, -9.689069747924805"
Soyo Airport,AO,FNSO,Soyo,SZA,"12.371800422668457, -6.141089916229248"
Sumbe Airport,AO,FNSU,Sumbe,NDD,"13.84749984741211, -11.167900085449219"
Lubango Airport,AO,FNUB,Lubango,SDD,"13.574999809265137, -14.924699783325195"
Luena Airport,AO,FNUE,Luena,LUO,"19.8976993560791, -11.768099784851074"
Uige Airport,AO,FNUG,Uige,UGO,"15.027799606323242, -7.60306978225708"
Xangongo Airport,AO,FNXA,Xangongo,XGN,"14.965299606323242, -16.755399703979492"
Koulamoutou Mabimbi Airport,GA,FOGK,Koulamoutou,KOU,"12.441300392151, -1.1846100091934"
Mouilla Ville Airport,GA,FOGM,Mouila,MJL,"11.056699752807617, -1.845139980316162"
Oyem Airport,GA,FOGO,Oyem,OYE,"11.581399917602539, 1.5431100130081177"
Okondja Airport,GA,FOGQ,Okondja,OKN,"13.673100471496582, -0.6652140021324158"
Lambarene Airport,GA,FOGR,Lambarene,LBQ,"10.245699882507324, -0.7043889760971069"
Bitam Airport,GA,FOOB,Bitam,BMM,"11.493200302124023, 2.0756399631500244"
Port Gentil Airport,GA,FOOG,Port Gentil,POG,"8.754380226135254, -0.7117390036582947"
Omboue Hopital Airport,GA,FOOH,Omboue,OMB,"9.262689590454102, -1.5747300386428833"
Makokou Airport,GA,FOOK,Makokou,MKU,"12.890899658203125, 0.5792109966278076"
Libreville Leon M'ba International Airport,GA,FOOL,Libreville,LBV,"9.412280082699999, 0.458600014448"
M'Vengue El Hadj Omar Bongo Ondimba International Airport,GA,FOON,Franceville,MVB,"13.437999725341797, -1.6561599969863892"
S����o Tom���� International Airport,ST,FPST,S����o Tom����,TMS,"6.7121500968933105, 0.3781749904155731"
Beira Airport,MZ,FQBR,Beira,BEW,"34.90760040283203, -19.79640007019043"
Chimoio Airport,MZ,FQCH,Chimoio,VPY,"33.42900085449219, -19.15130043029785"
Inhambane Airport,MZ,FQIN,Inhambabe,INH,"35.40850067138672, -23.876399993896484"
Lichinga Airport,MZ,FQLC,Lichinga,VXC,"35.2663, -13.274"
Maputo Airport,MZ,FQMA,Maputo,MPM,"32.572601, -25.920799"
Mueda Airport,MZ,FQMD,Mueda,MUD,"39.5630989074707, -11.672900199890137"
Moc����mboa da Praia Airport,MZ,FQMP,Moc����mboa da Praia,MZB,"40.35490036010742, -11.361800193786621"
Nampula Airport,MZ,FQNP,Nampula,APL,"39.28179931640625, -15.105600357055664"
Pemba Airport,MZ,FQPB,Pemba / Porto Amelia,POL,"40.52401351928711, -12.991762161254883"
Quelimane Airport,MZ,FQQL,Quelimane,UEL,"36.86909866333008, -17.855499267578125"
Chingozi Airport,MZ,FQTT,Tete,TET,"33.640201568603516, -16.104799270629883"
Vilankulo Airport,MZ,FQVL,Vilanculo,VNX,"35.31330108642578, -22.018400192260742"
Seychelles International Airport,SC,FSIA,Mahe Island,SEZ,"55.521801, -4.67434"
Praslin Airport,SC,FSPP,Praslin Island,PRI,"55.69139862060547, -4.3192901611328125"
N'Djamena International Airport,TD,FTTJ,N'Djamena,NDJ,"15.034, 12.1337"
Joshua Mqabuko Nkomo International Airport,ZW,FVJN,Bulawayo,BUQ,"28.617901, -20.017401"
Buffalo Range Airport,ZW,FVCZ,Chiredzi,BFO,"31.5786, -21.008101"
Victoria Falls International Airport,ZW,FVFA,Victoria Falls,VFA,"25.839000701904297, -18.09589958190918"
Robert Gabriel Mugabe International Airport,ZW,FVRG,Harare,HRE,"31.0928, -17.931801"
Kariba International Airport,ZW,FVKB,Kariba,KAB,"28.885000228881836, -16.519800186157227"
Masvingo International Airport,ZW,FVMV,Masvingo,MVZ,"30.859100341796875, -20.055299758911133"
Thornhill Air Base,ZW,FVTL,Gweru,GWE,"29.861900329589844, -19.436399459838867"
Hwange National Park Airport,ZW,FVWN,Hwange,HWN,"27.020999908447266, -18.629899978637695"
Chileka International Airport,MW,FWCL,Blantyre,BLZ,"34.9739990234375, -15.679100036621094"
Dwangwa Airport,MW,FWDW,Dwangwa,DWA,"34.131901, -12.5183"
Karonga Airport,MW,FWKA,Karonga,KGJ,"33.893001556396484, -9.953570365905762"
Lilongwe International Airport,MW,FWKI,Lilongwe,LLW,"33.78099823, -13.7894001007"
Mangochi Airport,MW,FWMG,Mangochi,MAI,"35.266998291015625, -14.482999801635742"
Mzuzu Airport,MW,FWUU,Mzuzu,ZZU,"34.01179885864258, -11.444700241088867"
Moshoeshoe I International Airport,LS,FXMM,Maseru,MSU,"27.552499771118164, -29.462299346923828"
Arandis Airport,NA,FYAR,Arandis,ADI,"14.979999542236328, -22.462200164794922"
Grootfontein Airport,NA,FYGF,Grootfontein,GFY,"18.122699737548828, -19.60219955444336"
Keetmanshoop Airport,NA,FYKT,Keetmanshoop,KMP,"18.111400604248047, -26.5398006439209"
Luderitz Airport,NA,FYLZ,Luderitz,LUD,"15.242899894714355, -26.687400817871094"
Ondangwa Airport,NA,FYOA,Ondangwa,OND,"15.9526, -17.878201"
Oranjemund Airport,NA,FYOG,Oranjemund,OMD,"16.446699, -28.5847"
Rundu Airport,NA,FYRU,Rundu,NDU,"19.719400405884, -17.956499099731"
Tsumeb Airport,NA,FYTM,Tsumeb,TSB,"17.732500076294, -19.26189994812"
Walvis Bay Airport,NA,FYWB,Walvis Bay,WVB,"14.6453, -22.9799"
Eros Airport,NA,FYWE,Windhoek,ERS,"17.080400466918945, -22.612199783325195"
Hosea Kutako International Airport,NA,FYWH,Windhoek,WDH,"17.4709, -22.4799"
Ndjili International Airport,CD,FZAA,Kinshasa,FIH,"15.4446, -4.38575"
Ndolo Airport,CD,FZAB,N'dolo,NLO,"15.327500343323, -4.32666015625"
Mbandaka Airport,CD,FZEA,Mbandaka,MDK,"18.2887001038, 0.0226000007242"
Gemena Airport,CD,FZFK,Gemena,GMA,"19.771299362199997, 3.2353699207299997"
Bangoka International Airport,CD,FZIC,Kisangani,FKI,"25.3379993439, 0.481638997793"
Goma International Airport,CD,FZNA,Goma,GOM,"29.238500595092773, -1.6708099842071533"
Kindu Airport,CD,FZOA,Kindu,KND,"25.915399551399997, -2.91917991638"
Lubumbashi International Airport,CD,FZQA,Lubumbashi,FBM,"27.5308990479, -11.5913000107"
Kananga Airport,CD,FZUA,Kananga,KGA,"22.4692001343, -5.90005016327"
Mbuji Mayi Airport,CD,FZWA,Mbuji Mayi,MJM,"23.569000244099996, -6.121240139010001"
Modibo Keita International Airport,ML,GABS,Bamako,BKO,"-7.94994, 12.5335"
Timbuktu Airport,ML,GATB,Timbuktu,TOM,"-3.007580041885376, 16.730499267578125"
Outer Skerries Airport,GB,EGOU,Grunay Island,OUK,"-0.75, 60.4252"
Banjul International Airport,GM,GBYD,Banjul,BJL,"-16.65220069885254, 13.338000297546387"
Fuerteventura Airport,ES,GCFV,Fuerteventura Island,FUE,"-13.863800048828125, 28.452699661254883"
Hierro Airport,ES,GCHI,El Hierro Island,VDE,"-17.887100219726562, 27.814800262451172"
La Palma Airport,ES,GCLA,"Sta Cruz de la Palma, La Palma Island",SPC,"-17.7556, 28.626499"
Gran Canaria Airport,ES,GCLP,Gran Canaria Island,LPA,"-15.38659954071045, 27.931900024414062"
Lanzarote Airport,ES,GCRR,Lanzarote Island,ACE,"-13.6052, 28.945499"
Tenerife South Airport,ES,GCTS,Tenerife Island,TFS,"-16.5725002289, 28.044500351"
Tenerife Norte Airport,ES,GCXO,Tenerife Island,TFN,"-16.3414993286, 28.4827003479"
Melilla Airport,ES,GEML,Melilla,MLN,"-2.9562599659, 35.279800415"
Sherbro International Airport,SL,GFBN,Bonthe,BTE,"-12.518899917602539, 7.5324201583862305"
Bo Airport,SL,GFBO,Bo,KBS,"-11.76099967956543, 7.944399833679199"
Kenema Airport,SL,GFKE,Kenema,KEN,"-11.176600456237793, 7.891290187835693"
Lungi International Airport,SL,GFLL,Freetown,FNA,"-13.1955, 8.61644"
Yengema Airport,SL,GFYE,Yengema,WYE,"-11.04539966583252, 8.610469818115234"
Osvaldo Vieira International Airport,GW,GGOV,Bissau,OXB,"-15.65369987487793, 11.894800186157227"
Spriggs Payne Airport,LR,GLMR,Monrovia,MLW,"-10.758700370788574, 6.289060115814209"
Roberts International Airport,LR,GLRB,Monrovia,ROB,"-10.3623, 6.23379"
Al Massira Airport,MA,GMAD,Agadir,AGA,"-9.413069725036621, 30.325000762939453"
Tan Tan Airport,MA,GMAT,Tan Tan,TTA,"-11.161299705505371, 28.448200225830078"
Bouarfa Airport,MA,GMFB,Bouarfa,UAR,"-1.98305555556, 32.5143055556"
Sa����ss Airport,MA,GMFF,Fes,FEZ,"-4.977960109709999, 33.9272994995"
Moulay Ali Cherif Airport,MA,GMFK,Errachidia,ERH,"-4.39833021164, 31.9475002289"
Bassatine Airport,MA,GMFM,Meknes,MEK,"-5.515120029449463, 33.87910079956055"
Angads Airport,MA,GMFO,Oujda,OUD,"-1.92399001121521, 34.787200927734375"
Smara Airport,EH,GMMA,Smara,SMW,"-11.6847, 26.7318"
Rabat-Sal���� Airport,MA,GMME,Rabat,RBA,"-6.75152, 34.051498"
Dakhla Airport,EH,GMMH,Dakhla,VIL,"-15.932, 23.7183"
Hassan I Airport,EH,GMML,El Aai����n,EUN,"-13.2192, 27.151699"
Mohammed V International Airport,MA,GMMN,Casablanca,CMN,"-7.589970111846924, 33.36750030517578"
Nador International Airport,MA,GMMW,Nador,NDR,"-3.0282099247, 34.988800048799995"
Menara Airport,MA,GMMX,Marrakech,RAK,"-8.03629970551, 31.606899261499997"
Ouarzazate Airport,MA,GMMZ,Ouarzazate,OZZ,"-6.909430027010001, 30.9391002655"
Golog Maqin Airport,CN,ZLGL,Golog,GMQ,"100.301144, 34.418066"
Cherif Al Idrissi Airport,MA,GMTA,Al Hoceima,AHU,"-3.83951997756958, 35.177101135253906"
Saniat R'mel Airport,MA,GMTN,T����touan,TTU,"-5.320020198822, 35.594299316406"
Ibn Batouta Airport,MA,GMTT,Tangier,TNG,"-5.91689014435, 35.726898193400004"
Blaise Diagne International Airport,SN,GOBD,Dakar,DSS,"-17.073333, 14.67"
Ziguinchor Airport,SN,GOGG,Ziguinchor,ZIG,"-16.281799, 12.5556"
Cap Skirring Airport,SN,GOGS,Cap Skirring,CSK,"-16.748, 12.39533"
Kaolack Airport,SN,GOOK,Kaolack,KLC,"-16.051300048828125, 14.146900177001953"
L����opold S����dar Senghor International Airport,SN,GOOY,Dakar,DKR,"-17.49020004272461, 14.739700317382812"
Ouro Sogui Airport,SN,GOSM,Ouro Sogui,MAX,"-13.3228, 15.5936"
Saint Louis Airport,SN,GOSS,Saint Louis,XLS,"-16.463199615478516, 16.050800323486328"
Bakel Airport,SN,GOTB,Bakel,BXE,"-12.468299865722656, 14.847299575805664"
K����dougou Airport,SN,GOTK,K����dougou,KGG,"-12.22029972076416, 12.57229995727539"
Tambacounda Airport,SN,GOTT,Tambacounda,TUD,"-13.65310001373291, 13.736800193786621"
Nouakchott������Oumtounsy International Airport,MR,GQNO,Nouakchott,NKC,"-15.9697222, 18.31"
Atar International Airport,MR,GQPA,Atar,ATR,"-13.04319953918457, 20.506799697875977"
Nouadhibou International Airport,MR,GQPP,Nouadhibou,NDB,"-17.030000686645508, 20.9330997467041"
Conakry International Airport,GN,GUCY,Conakry,CKY,"-13.612, 9.57689"
Am����lcar Cabral International Airport,CV,GVAC,Espargos,SID,"-22.9494, 16.7414"
Rabil Airport,CV,GVBA,Rabil,BVC,"-22.888900756835938, 16.136499404907227"
Maio Airport,CV,GVMA,Vila do Maio,MMO,"-23.213699340820312, 15.155900001525879"
Praia International Airport,CV,GVNP,Praia,RAI,"-23.493499755859375, 14.924500465393066"
Pregui����a Airport,CV,GVSN,Pregui����a,SNE,"-24.284700393676758, 16.58839988708496"
S����o Pedro Airport,CV,GVSV,S����o Pedro,VXE,"-25.055299758911133, 16.833200454711914"
Addis Ababa Bole International Airport,ET,HAAB,Addis Ababa,ADD,"38.799301147499996, 8.97789001465"
Bahir Dar Airport,ET,HABD,Bahir Dar,BJR,"37.32160186767578, 11.608099937438965"
Aba Tenna Dejazmach Yilma International Airport,ET,HADR,Dire Dawa,DIR,"41.85419845581055, 9.624699592590332"
Gambella Airport,ET,HAGM,Gambela,GMB,"34.5630989074707, 8.12876033782959"
Gonder Airport,ET,HAGN,Gondar,GDQ,"37.433998107910156, 12.51990032196045"
Gode Airport,ET,HAGO,Gode,GDE,"43.5786018372, 5.93513011932"
Harar Meda Airport,ET,HAHM,Debre Zeyit,QHR,"39.0059, 8.7163"
Wilwal International Airport,ET,HAJJ,Jijiga,JIJ,"42.9121, 9.3325"
Jimma Airport,ET,HAJM,Jimma,JIM,"36.81660079956055, 7.66609001159668"
Asosa Airport,ET,HASO,Asosa,ASO,"34.586299896240234, 10.018500328063965"
Bujumbura International Airport,BI,HBBA,Bujumbura,BJM,"29.318500518798828, -3.3240199089050293"
Egal International Airport,SO,HCMH,Hargeisa,HGA,"44.082389, 9.513207"
Berbera Airport,SO,HCMI,Berbera,BBO,"44.94110107421875, 10.389200210571289"
Aden Adde International Airport,SO,HCMM,Mogadishu,MGQ,"45.3046989440918, 2.0144400596618652"
Djibouti-Ambouli Airport,DJ,HDAM,Djibouti City,JIB,"43.15950012207031, 11.547300338745117"
El Alamein International Airport,EG,HEAL,El Alamein,DBB,"28.46139907836914, 30.92449951171875"
El Arish International Airport,EG,HEAR,El Arish,AAC,"33.8358001709, 31.073299408"
Asyut International Airport,EG,HEAT,Asyut,ATZ,"31.011999, 27.046499"
El Nouzha Airport,EG,HEAX,Alexandria,ALY,"29.94890022277832, 31.183900833129883"
Borg El Arab International Airport,EG,HEBA,Alexandria,HBE,"29.696399688720703, 30.917699813842773"
Abu Simbel Airport,EG,HEBL,Abu Simbel,ABS,"31.611700058, 22.375999450699997"
Cairo International Airport,EG,HECA,Cairo,CAI,"31.40559959411621, 30.12190055847168"
Hurghada International Airport,EG,HEGN,Hurghada,HRG,"33.799400329589844, 27.178300857543945"
El Gora Airport,EG,HEGR,El Gora,EGH,"34.129629, 31.068559"
Luxor International Airport,EG,HELX,Luxor,LXR,"32.7066, 25.671"
Marsa Alam International Airport,EG,HEMA,Marsa Alam,RMF,"34.5836982727, 25.557100296"
Sohag International Airport,EG,HESG,Sohag,HMB,"31.742778, 26.342778"
Mersa Matruh Airport,EG,HEMM,Mersa Matruh,MUH,"27.221700668300002, 31.3253993988"
Port Said Airport,EG,HEPS,Port Said,PSD,"32.2400016784668, 31.279399871826172"
